GHG Constraint,,,,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
MT,CO2,MT,0,0,0,0,0,35.75,46.26515,59.04748,75.36114,96.18198,122.755405,156.67105,199.955,255.2,325.70625,415.69325,530.54195,677.121,864.1971,1102.95845,1407.68465
NC,CO2,NC,0,0,0,0,0,28.75,37.33119,48.052432,61.328376,76.945584,99.050913,126.41733,162.722,209.44,267.30375,335.42145,424.43356,541.6968,691.35768,882.36676,1126.14772
ND,CO2,ND,0,0,0,0,0,37.25,47.54143,60.676376,77.440068,98.835276,126.141761,160.99301,202.713,256.96,327.9525,418.5601,537.85977,686.4606,876.11706,1118.17167,1427.10099
NE,CO2,NE,0,0,0,0,0,33.25,43.39352,56.604136,71.723016,88.885416,109.209981,127.49782,144.795,184.8,240.34875,323.95405,409.79792,518.3478,649.63782,851.94032,1097.02321
NH,CO2,NH,0,0,0,0,0,27.25,34.77863,44.387416,56.650788,72.302316,93.971379,121.01488,159.964,207.68,262.81125,338.2883,431.75138,551.0364,703.27764,889.97337,1135.85589
NJ,CO2,NJ,0,0,0,0,0,30,38.60747,49.274104,62.887572,81.588852,106.670214,138.30272,176.512,230.56,294.25875,369.82365,468.34048,597.7344,762.87744,973.64608,1242.64576
NM,CO2,NM,0,0,0,0,0,34.75,44.6698,57.01136,72.76248,92.202036,117.675871,151.2686,194.439,246.4,314.475,401.359,515.90631,658.4418,840.35718,1080.13862,1378.56014
NV,CO2,NV,0,0,0,0,0,28,35.73584,45.609088,57.690252,73.628964,95.664557,122.09537,155.827,198.88,253.82625,321.0872,413.45683,527.6874,673.47774,844.33371,1067.8987
NY,CO2,NY,0,0,0,0,0,25.75,33.50235,42.75852,55.091592,70.312344,90.585023,116.69292,150.311,190.08,238.1025,303.8861,387.84446,494.9988,631.75788,806.30066,1029.06602
OH,CO2,OH,0,0,0,0,0,33,42.11724,52.93912,67.045428,84.905472,107.516803,139.38321,179.27,228.8,287.52,364.08995,471.99939,611.7438,780.75738,988.8593,1262.0621
OK,CO2,OK,0,0,0,0,0,35,44.35073,56.196912,72.242748,92.86536,118.52246,152.34909,191.681,244.64,312.22875,404.22585,512.2474,653.772,834.3972,1072.53201,1368.85197
OR,CO2,OR,0,0,0,0,0,26.5,33.82142,43.165744,54.57186,69.64902,89.738434,114.53194,146.174,186.56,235.85625,301.01925,384.18555,499.6686,637.71786,821.51388,1048.48236
PA,CO2,PA,0,0,0,0,0,32.75,41.79817,53.753568,68.604624,87.558768,112.596337,145.86615,188.923,242.88,309.9825,392.75845,501.27067,644.4324,816.51726,1042.10557,1330.01929
RI,CO2,RI,0,0,0,0,0,26.25,33.18328,42.351296,53.532396,67.659048,87.198667,111.29047,142.037,181.28,231.36375,295.28555,376.86773,480.9894,613.87794,783.48083,999.94151
SC,CO2,SC,0,0,0,0,0,31.75,40.52189,51.717448,68.084892,86.895444,114.289515,149.10762,193.06,248.16,316.72125,398.49215,504.92958,635.0928,810.55728,1034.49896,1320.31112
SD,CO2,SD,0,0,0,0,0,25.25,32.22607,41.129624,52.492932,66.3324,84.6589,108.049,137.9,176,224.625,286.685,365.891,466.98,595.998,760.661,970.817
TN,CO2,TN,0,0,0,0,0,31,39.88375,50.495776,63.927036,83.578824,105.823625,136.14174,175.133,225.28,289.76625,375.55735,475.6583,602.4042,768.83742,996.46591,1271.77027
TX,CO2,TX,0,0,0,0,0,35.5,45.30794,57.825808,73.801944,94.855332,121.062227,155.59056,198.576,253.44,323.46,412.8264,526.88304,672.4512,858.23712,1095.35184,1397.97648
UT,CO2,UT,0,0,0,0,0,33.5,42.43631,54.160792,69.124356,89.54874,115.136104,146.94664,187.544,239.36,305.49,389.8916,497.61176,639.7626,822.47724,1049.71218,1339.72746
VA,CO2,VA,0,0,0,0,0,28.25,36.37398,47.237984,60.288912,78.272232,101.59068,130.73929,166.859,216.48,274.0425,346.88885,435.41029,546.3666,697.31766,897.57998,1145.56406
VT,CO2,VT,0,0,0,0,0,26,32.86421,41.944072,54.052128,68.985696,88.891845,113.45145,147.553,191.84,244.84125,312.48665,398.82119,513.678,661.55778,836.7271,1077.60687
WA,CO2,WA,0,0,0,0,0,29.75,37.96933,48.86688,62.36784,79.59888,99.897502,128.57831,165.48,211.2,269.55,344.022,446.38702,565.0458,727.11756,943.21964,1213.52125
WI,CO2,WI,0,0,0,0,0,32.5,41.4791,52.531896,67.56516,86.23212,110.903159,141.54419,177.891,221.76,283.0275,361.2231,461.02266,583.725,721.15758,920.39981,1164.9804
WV,CO2,WV,0,0,0,0,0,37,47.22236,60.269152,76.920336,98.171952,123.601994,157.75154,201.334,258.72,330.19875,421.42695,534.20086,681.7908,870.15708,1110.56506,1417.39282
WY,CO2,WY,0,0,0,0,0,37.5,47.8605,61.0836,77.9598,99.4986,126.98835,162.0735,206.85,264,336.9375,430.0275,548.8365,700.47,893.997,1140.9915,1456.2255
